Restaurant Name,outlet_count,avg_rating,total_votes,avg_votes,cities,countries,avg_cost
Cafe Coffee Day,83,2.42,2428,29.0,5,1,450.0
Domino's Pizza,79,2.74,6643,84.0,7,1,700.0
Subway,63,2.91,6124,97.0,5,1,498.0
Green Chick Chop,51,2.67,964,19.0,4,1,350.0
McDonald's,48,3.34,5291,110.0,7,1,491.0
Keventers,34,2.87,1263,37.0,4,1,387.0
Pizza Hut,30,3.32,4961,165.0,12,2,871.0
Giani,29,2.69,854,29.0,4,1,379.0
Baskin Robbins,28,1.86,428,15.0,5,1,300.0
Barbeque Nation,26,4.35,28142,1082.0,22,2,1498.0
Barista,22,3.07,815,37.0,4,1,650.0
Giani's,22,2.78,1150,52.0,3,1,393.0
Dunkin' Donuts,22,3.14,5974,272.0,5,1,600.0
Costa Coffee,20,2.42,861,43.0,4,1,600.0
Pind Balluchi,20,2.63,5582,279.0,7,1,918.0
Pizza Hut Delivery,19,2.66,1527,80.0,3,1,800.0
Sagar Ratna,19,2.96,4038,213.0,5,1,589.0
Twenty Four Seven,19,2.15,280,15.0,3,1,295.0
Wah Ji Wah,19,2.34,1026,54.0,3,1,421.0
Starbucks,18,3.81,7139,397.0,4,2,663.0
Republic of Chicken,18,2.42,234,13.0,4,1,400.0
KFC,18,2.74,2331,130.0,8,1,503.0
Chaayos,18,3.54,2473,137.0,3,1,400.0
Burger King,16,3.41,4617,289.0,5,1,491.0
Haldiram's,16,3.62,4525,283.0,4,1,547.0
Shree Rathnam,15,3.0,1083,72.0,4,1,800.0
Moti Mahal Delux,14,3.0,1023,73.0,3,1,968.0
Bikanervala,14,3.19,2980,213.0,3,1,543.0
Frontier,14,2.83,125,9.0,3,1,200.0
Aggarwal Sweets,14,0.79,39,3.0,1,1,179.0
Bikaner Sweets,13,1.34,88,7.0,2,1,212.0
Karim's,13,3.03,6878,529.0,4,1,865.0
Behrouz Biryani,13,3.18,509,39.0,3,1,600.0
Apni Rasoi,12,1.94,489,41.0,2,1,346.0
Chicago Pizza,12,2.32,633,53.0,4,1,625.0
"34, Chowringhee Lane",12,2.79,777,65.0,1,1,317.0
Madras Cafe,11,1.92,389,35.0,2,1,295.0
Burger Point,11,3.15,574,52.0,3,1,309.0
Wow! Momo,11,2.75,1119,102.0,3,1,355.0
Gopala,10,3.29,264,26.0,3,1,235.0
Cocoberry,9,3.42,564,63.0,2,1,300.0
Sardar A Pure Meat Shop,9,1.72,112,12.0,2,1,183.0
Berco's,9,3.17,5394,599.0,3,1,1078.0
Yo! China,9,2.99,1951,217.0,4,1,1133.0
Nirula's Ice Cream,9,2.4,117,13.0,1,1,256.0
Shama Chicken Corner,9,1.08,69,8.0,3,1,356.0
Punjabi Chaap Corner,8,2.35,221,28.0,1,1,381.0
Angels in my Kitchen,8,3.41,1241,155.0,3,1,350.0
Chowringhee,8,2.56,785,98.0,1,1,375.0
Punjabi Tadka,8,2.55,182,23.0,3,1,400.0
Kebab Xpress,8,3.02,708,88.0,4,1,600.0
Ovenstory Pizza,8,2.5,100,12.0,3,1,500.0
Faasos,8,2.94,77,10.0,3,1,600.0
Khan Chacha,7,2.47,4610,659.0,1,1,650.0
Mocha,7,4.19,3111,444.0,7,1,907.0
The Yellow Chilli,7,3.67,1526,218.0,7,1,1200.0
Nazeer Foods,7,3.33,1628,233.0,2,1,600.0
Chinese Hut,7,2.73,261,37.0,1,1,436.0
China Town,7,2.03,68,10.0,2,1,279.0
Tpot,7,0.97,43,6.0,3,1,586.0
BTW,7,3.29,998,143.0,1,1,371.0
